epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.0291,1.15864,6.89715,0.0126,0.61474,0.1485,0.27032,0.18256,1.24979,2.99598,0.02052,0.000327586,0.000327586,0.067569
2,30.3739,1.1294,1.73486,0.01416,0.4089,0.61235,0.48531,0.34153,1.22853,2.36237,0.02211,0.000660274,0.000660274,0.0345683
3,38.541,1.07116,1.63618,0.01216,0.40187,0.54676,0.39566,0.31024,0.98379,2.15072,0.01754,0.000990372,0.000990372,0.00156508
4,46.6059,1.07677,1.58401,0.01285,0.4258,0.64218,0.49633,0.37553,1.00633,1.72386,0.01613,0.000991232,0.000991232,0.000991232
5,54.7158,1.03265,1.36248,0.01257,0.57654,0.58407,0.59269,0.45454,0.95596,1.56875,0.01426,0.000984449,0.000984449,0.000984449
6,62.8307,1.0314,1.36225,0.01266,0.51239,0.61911,0.56478,0.40833,1.09316,1.43947,0.01877,0.000975773,0.000975773,0.000975773
7,71.0323,1.00676,1.2272,0.01178,0.52707,0.69388,0.58977,0.46487,0.93594,1.35449,0.01482,0.000965239,0.000965239,0.000965239
8,79.0964,0.98464,1.12777,0.01066,0.66463,0.67856,0.66525,0.50805,0.94906,1.23471,0.01557,0.000952889,0.000952889,0.000952889
9,87.3111,1.01737,1.24888,0.01294,0.59466,0.77604,0.69676,0.54891,0.99337,1.16093,0.01655,0.000938772,0.000938772,0.000938772
10,95.6105,0.9895,1.14689,0.01231,0.54149,0.76177,0.65943,0.50979,0.99961,1.49589,0.01675,0.000922942,0.000922942,0.000922942
11,103.694,0.94235,1.06479,0.01068,0.58579,0.69563,0.65314,0.50268,0.96713,1.3137,0.01557,0.000905463,0.000905463,0.000905463
12,111.72,0.96051,1.02479,0.01194,0.56934,0.67151,0.61899,0.47529,1.05477,1.37473,0.01758,0.000886404,0.000886404,0.000886404
13,119.751,0.94907,0.9949,0.01146,0.53782,0.74442,0.64988,0.50701,0.98201,1.20612,0.01652,0.000865839,0.000865839,0.000865839
14,128.007,0.90964,1.00023,0.01071,0.62946,0.61936,0.64584,0.5095,0.99357,1.28338,0.01678,0.000843851,0.000843851,0.000843851
